app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck,tags
10090,Call of Duty: World at War,2008-11-18,TRUE,FALSE,FALSE,Very Positive,92,37039,19.99,19.99,0,TRUE,"Zombies,World War II,FPS,Multiplayer,Action,Shooter,Co-op,Singleplayer,Moddable,First-Person,War,Online Co-Op,Gore,Historical,Classic,Survival,Great Soundtrack,Tanks,Horror,Adventure"
13500,Prince of Persia: Warrior Within™,2008-11-21,TRUE,FALSE,FALSE,Very Positive,84,2199,9.99,9.99,0,TRUE,"Action,Adventure,Parkour,Third Person,Great Soundtrack,Singleplayer,Platformer,Time Travel,Atmospheric,Classic,Hack and Slash,Time Manipulation,Gore,Fantasy,Story Rich,Dark,Open World,Controller,Dark Fantasy,Puzzle"
113020,Monaco: What's Yours Is Mine,2013-04-24,TRUE,TRUE,TRUE,Very Positive,92,3722,14.99,14.99,0,TRUE,"Co-op,Stealth,Indie,Heist,Local Co-Op,Strategy,Online Co-Op,Top-Down,Action,Multiplayer,Crime,Casual,Great Soundtrack,Adventure,Pixel Graphics,Local Multiplayer,Controller,2D,Singleplayer,Loot"
226560,Escape Dead Island,2014-11-18,TRUE,FALSE,FALSE,Mixed,61,873,14.99,14.99,0,TRUE,"Zombies,Adventure,Survival,Action,Third Person,Open World,Gore,Horror,Singleplayer,Multiplayer,Cartoony,Hack and Slash,Stealth,Co-op,Atmospheric,Survival Horror,Third-Person Shooter,Anime"
249050,Dungeon of the ENDLESS™,2014-10-27,TRUE,TRUE,FALSE,Very Positive,88,8784,11.99,11.99,0,TRUE,"Roguelike,Strategy,Tower Defense,Pixel Graphics,Indie,RPG,Sci-fi,Dungeon Crawler,Adventure,Perma Death,Procedural Generation,Resource Management,Difficult,Co-op,Roguelite,Survival,Replay Value,Great Soundtrack,Singleplayer,2D"
250180,METAL SLUG 3,2015-09-14,TRUE,FALSE,FALSE,Very Positive,90,5579,7.99,7.99,0,TRUE,"Arcade,Classic,Action,Co-op,Side Scroller,Retro,Local Co-Op,Shooter,2D,Online Co-Op,Great Soundtrack,Shoot 'Em Up,Platformer,Multiplayer,Pixel Graphics,Old School,Difficult,Singleplayer,Nostalgia,Comedy"
253980,Enclave,2013-10-04,TRUE,TRUE,TRUE,Mostly Positive,75,1608,4.99,4.99,0,TRUE,"RPG,Action,Fantasy,Third Person,Hack and Slash,Adventure,Singleplayer,Classic,Action RPG,Magic,Female Protagonist,Atmospheric,Multiplayer,First-Person,Great Soundtrack,Nudity,Open World,Action-Adventure,Dark Fantasy,Medieval"
261550,Mount & Blade II: Bannerlord,2022-10-25,TRUE,FALSE,FALSE,Very Positive,87,169694,49.99,49.99,0,TRUE,"Medieval,Strategy,Open World,RPG,War,Multiplayer,Sandbox,Singleplayer,Action,Simulation,Character Customization,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access"
271850,Men of War: Assault Squad 2 - Deluxe Edition upgrade,2014-05-16,TRUE,FALSE,FALSE,Mixed,61,199,6.99,6.99,0,TRUE,"Strategy,Simulation,Action,RTS,World War II"
282900,Hyperdimension Neptunia Re;Birth1,2015-01-29,TRUE,FALSE,FALSE,Very Positive,94,9686,14.99,14.99,0,TRUE,"Anime,JRPG,Female Protagonist,Cute,RPG,Singleplayer,Comedy,Funny,Turn-Based,Great Soundtrack,Visual Novel,Strategy,Turn-Based Combat,Nudity,Story Rich,Memes,Adventure,Action,Sci-fi,Casual"
15270,Cold Fear™,2008-05-13,TRUE,FALSE,FALSE,Very Positive,85,800,9.99,9.99,0,TRUE,"Horror,Action,Survival Horror,Third-Person Shooter,Zombies,Classic,Third Person,Atmospheric,Gore,Singleplayer,Adventure"
21130,LEGO® Harry Potter: Years 1-4,2010-06-25,TRUE,FALSE,FALSE,Very Positive,85,5169,19.99,19.99,0,TRUE,"LEGO,Adventure,Local Co-Op,Action,Magic,Family Friendly,Multiplayer,Singleplayer,Fantasy,Comedy,Split Screen,Open World,Funny,Co-op,Puzzle,Controller,Local Multiplayer,Third Person,3D Platformer,Atmospheric"
22130,Hearts of Iron 2 Complete,2009-01-23,TRUE,FALSE,FALSE,Very Positive,85,462,14.99,14.99,0,TRUE,"Strategy,Grand Strategy,World War II,Historical,RTS,Simulation"
29180,Osmos,2009-08-18,TRUE,TRUE,TRUE,Very Positive,88,532,9.99,9.99,0,TRUE,"Indie,Casual,Puzzle,Relaxing,Singleplayer,Physics,Great Soundtrack,Ambient,Atmospheric,2D,Difficult,Minimalist,Space,Procedural Generation,Arcade,Strategy,Sci-fi,Science,Simulation,Education"
32750,Comanche 4,2009-06-18,TRUE,FALSE,FALSE,Very Positive,90,222,9.99,9.99,0,TRUE,"Action,Simulation,Flight,Classic"
241620,Inquisitor,2013-08-01,TRUE,FALSE,FALSE,Mostly Positive,70,390,9.99,9.99,0,TRUE,"RPG,Indie,Isometric,Dark Fantasy,Singleplayer,Fantasy,Story Rich,Medieval,CRPG,Action RPG,Difficult,Gore,Violent"
245950,Borderlands 2: Headhunter 4: Wedding Day Massacre,2014-02-11,TRUE,TRUE,TRUE,Very Positive,84,294,0.89,2.99,70,TRUE,"Action,RPG,FPS,Co-op,Shooter,Action RPG,Online Co-Op,Open World,Post-apocalyptic,Multiplayer,Comedy,Addictive,Dark Humor,Loot,First-Person,Adventure,Funny"
250460,Bridge Constructor,2013-10-16,TRUE,TRUE,TRUE,Mostly Positive,77,716,2.39,19.99,88,TRUE,"Simulation,Casual,Indie,Physics,Puzzle,Building,Singleplayer"
312200,Chasm,2018-07-30,TRUE,TRUE,TRUE,Mostly Positive,73,1065,19.99,19.99,0,TRUE,"Metroidvania,Indie,Pixel Graphics,Adventure,Action,RPG,Platformer,2D,Procedural Generation,Side Scroller,Singleplayer,Retro,Fantasy,Action RPG,Roguelike"
321290,Dandelion - Wishes brought to you -,2014-09-29,TRUE,TRUE,FALSE,Very Positive,85,589,29.99,29.99,0,TRUE,"Otome,Dating Sim,Visual Novel,Female Protagonist,Simulation,Anime,Romance,Story Rich,Singleplayer,Choices Matter"
342200,MechWarrior Online™ Solaris 7,2015-12-10,TRUE,FALSE,FALSE,Mostly Positive,79,10219,0,0,0,TRUE,"Free to Play,Mechs,Multiplayer,Action,Shooter,Robots,Sci-fi,Simulation,FPS,Massively Multiplayer,PvP,Strategy,First-Person,Tactical,Team-Based,War,Survival,Walking Simulator,Singleplayer,Open World"
371970,Barony,2015-06-23,TRUE,TRUE,TRUE,Very Positive,92,3043,14.99,14.99,0,TRUE,"Action Roguelike,RPG,Dungeon Crawler,Co-op,Indie,Adventure,First-Person,Roguelike,Action,Pixel Graphics,Multiplayer,Roguelite,Difficult,Voxel,Fantasy,Online Co-Op,Violent,FPS,Singleplayer,Procedural Generation"
387440,SMITE® - Ultimate God Pack,2015-09-08,TRUE,TRUE,FALSE,Mostly Positive,72,696,29.99,29.99,0,TRUE,"Action,Free to Play,MOBA,Third Person,Multiplayer"
437000,GUILTY GEAR 2 -OVERTURE-,2016-03-31,TRUE,FALSE,FALSE,Mostly Positive,71,214,19.99,19.99,0,TRUE,"Action,Fighting,Anime,RTS,Story Rich,Great Soundtrack,Difficult,Singleplayer,Action RTS,Local Multiplayer,Controller,MOBA,Hack and Slash,Strategy"
1872790,Luckitown,2022-01-19,TRUE,TRUE,FALSE,Very Positive,86,163,4.99,4.99,0,TRUE,"Simulation,Tower Defense,Strategy,Turn-Based Strategy,Resource Management,City Builder,2D,Minimalist,Cartoon,Indie,Fantasy,Turn-Based Tactics,Choices Matter,Singleplayer"
222660,Retro/Grade,2013-03-20,TRUE,FALSE,FALSE,Very Positive,85,207,9.99,9.99,0,TRUE,"Indie,Action,Rhythm,Music,Shoot 'Em Up,Sci-fi,Retro,Arcade,Great Soundtrack"
268220,Meltdown,2014-06-05,TRUE,TRUE,TRUE,Very Positive,86,493,6.99,6.99,0,TRUE,"Action,Indie,Arcade,Multiplayer,Shooter,Local Co-Op,Twin Stick Shooter,Isometric,4 Player Local,Top-Down Shooter,Top-Down,Great Soundtrack,Online Co-Op,Co-op"
274270,NOT A HERO,2016-07-08,TRUE,TRUE,TRUE,Very Positive,86,1563,19.99,19.99,0,TRUE,"Pixel Graphics,Action,Indie,Comedy,Adventure,Shooter,2D,Funny,Political,Gore,Great Soundtrack,Singleplayer,Difficult,Platformer,Fast-Paced,Shoot 'Em Up,Violent,Retro,Multiplayer"
281450,Disciples Sacred Lands Gold,2014-10-07,TRUE,FALSE,FALSE,Very Positive,85,270,7.99,7.99,0,TRUE,"Strategy,Turn-Based,Fantasy,Classic,Turn-Based Strategy,Dark Fantasy"
296870,Dreaming Sarah,2015-03-12,TRUE,FALSE,TRUE,Very Positive,92,2010,5.99,5.99,0,TRUE,"Metroidvania,Puzzle Platformer,Casual,Exploration,Platformer,Walking Simulator,Female Protagonist,2D,Surreal,Relaxing,Puzzle,Pixel Graphics,Abstract,Philosophical,Psychedelic,Atmospheric,Psychological,Adventure,Supernatural,Singleplayer"
304430,INSIDE,2016-07-07,TRUE,TRUE,FALSE,Overwhelmingly Positive,96,38601,19.99,19.99,0,TRUE,"2.5D,Story Rich,Puzzle Platformer,Atmospheric,Adventure,Indie,Dark,Horror,Singleplayer,Action-Adventure,Puzzle,Multiple Endings,Exploration,2D Platformer,Platformer,Controller,Soundtrack,Ambient,Action,Narrative"
330180,Pix the Cat,2015-01-29,TRUE,TRUE,TRUE,Very Positive,87,170,4.99,4.99,0,TRUE,"Cats,Indie,Action,Arcade,Local Multiplayer,Cartoony,4 Player Local,Retro,Score Attack,Cute,Singleplayer,Casual,Fast-Paced,Cartoon"
351920,Crazy Machines 3,2016-10-18,TRUE,FALSE,FALSE,Very Positive,94,6817,9.99,9.99,0,TRUE,"Simulation,Strategy,Puzzle,Physics,Sandbox,Singleplayer,Multiplayer,Building,Casual"
359870,FINAL FANTASY X/X-2 HD Remaster,2016-05-12,TRUE,FALSE,FALSE,Very Positive,90,12889,29.99,29.99,0,TRUE,"JRPG,Story Rich,RPG,Turn-Based Combat,Great Soundtrack,Fantasy,Singleplayer,Classic,Adventure,Turn-Based,Atmospheric,Romance,Female Protagonist,Anime,Action,Remake,Linear,Open World,Puzzle,Sports"
377840,FINAL FANTASY IX,2016-04-14,TRUE,FALSE,FALSE,Very Positive,94,7897,20.99,20.99,0,TRUE,"JRPG,Story Rich,Great Soundtrack,Fantasy,RPG,Classic,Turn-Based Combat,Singleplayer,Adventure,Atmospheric,Turn-Based,Open World,Party-Based RPG,Funny,Cult Classic,Steampunk,Medieval,Exploration,Anime,Action"
402130,FlatOut 4: Total Insanity,2017-04-04,TRUE,FALSE,FALSE,Mixed,52,1489,29.99,29.99,0,TRUE,"Racing,Automobile Sim,Multiplayer,Destruction,Action,Arcade,Driving,Singleplayer,Physics,Open World"
402710,Osiris: New Dawn,2023-01-18,TRUE,FALSE,FALSE,Mixed,57,12322,19.99,19.99,0,TRUE,"Open World Survival Craft,Horror,Survival,Space,Open World,Multiplayer,Sci-fi,Building,Adventure,Crafting,Sandbox,Base Building,Early Access,Co-op,Action,Singleplayer,Aliens,RPG,Indie,FPS"
410970,Master of Orion 1,2016-08-25,TRUE,TRUE,TRUE,Very Positive,90,279,0.89,5.99,85,TRUE,"Strategy,4X,Turn-Based,Space,Classic,Sci-fi,Singleplayer,Turn-Based Strategy,2D,1990's"
415200,Motorsport Manager,2016-11-09,TRUE,TRUE,TRUE,Very Positive,91,9753,19.99,19.99,0,TRUE,"Management,Racing,Simulation,Strategy,Sports,Automobile Sim,Singleplayer,Multiplayer,Difficult,Action,Great Soundtrack"
254820,Ground Control Anthology,2015-07-08,TRUE,FALSE,FALSE,Very Positive,87,141,4.99,4.99,0,TRUE,"Strategy,RTS,Real Time Tactics,Sci-fi,Classic"
286380,Strata,2014-05-29,TRUE,TRUE,TRUE,Very Positive,92,131,7.99,7.99,0,TRUE,"Casual,Strategy,Indie,Puzzle,Relaxing"
288220,Backstage Pass,2016-08-22,TRUE,TRUE,TRUE,Very Positive,90,209,29.99,29.99,0,TRUE,"Visual Novel,Otome,Anime,Female Protagonist,Simulation,Dating Sim,Indie,Romance,RPG,Singleplayer,LGBTQ+,2D,Story Rich"
302690,Metal Dead,2014-10-06,TRUE,FALSE,FALSE,Very Positive,83,378,4.99,4.99,0,TRUE,"Adventure,Indie,Gore,Zombies,Violent,Point & Click,Horror,Funny,Blood,Story Rich,Comedy,2D,Singleplayer,Dark Humor,Retro,Puzzle,Hand-drawn,Casual,Great Soundtrack"
339350,Choice of Robots,2014-12-19,TRUE,TRUE,TRUE,Overwhelmingly Positive,96,1834,6.99,6.99,0,TRUE,"Choose Your Own Adventure,Text-Based,Choices Matter,Interactive Fiction,Indie,Robots,RPG,Story Rich,Sci-fi,Singleplayer,LGBTQ+,Female Protagonist,Romance,Visual Novel"
342310,RIOT: Civil Unrest,2019-02-12,TRUE,TRUE,TRUE,Mixed,68,1280,5.09,16.99,70,TRUE,"Strategy,Simulation,Indie,Pixel Graphics,Political Sim,Political,Action,2D,RTS,Historical,Multiplayer,Violent,Early Access,Singleplayer,Crime"
346500,Road Scars: Origins,2018-04-03,TRUE,FALSE,FALSE,Mostly Positive,71,194,0.99,0.99,0,TRUE,"Racing,Action,Adventure,Indie,Retro,Arcade,Fast-Paced,Story Rich,2D,Pixel Graphics,Casual,Music,Singleplayer,Replay Value,Top-Down,Score Attack,Runner,Bikes,Motorbike,Emotional"
408520,FORM,2017-06-01,TRUE,FALSE,FALSE,Very Positive,91,934,14.99,14.99,0,TRUE,"Adventure,Indie,Casual,VR,Puzzle,First-Person,Singleplayer,Sci-fi,Atmospheric,Mystery,Great Soundtrack,Family Friendly"
413420,Danganronpa 2: Goodbye Despair,2016-04-18,TRUE,TRUE,TRUE,Overwhelmingly Positive,96,20321,7.99,19.99,60,TRUE,"Anime,Detective,Visual Novel,Mystery,Story Rich,Great Soundtrack,Singleplayer,Psychological Horror,Adventure,Dark Comedy,Horror,Puzzle,Atmospheric,Dark,Comedy,Memes,Dating Sim,Mature,Funny,Walking Simulator"
414870,Super Mega Baseball 2,2018-04-30,TRUE,FALSE,FALSE,Very Positive,88,988,19.99,19.99,0,TRUE,"Sports,Baseball,Indie,Simulation,Multiplayer,Singleplayer,Local Multiplayer,Local Co-Op,Co-op,Online Co-Op,Controller"
494150,The Thrill of the Fight - VR Boxing,2019-10-24,TRUE,FALSE,FALSE,Overwhelmingly Positive,95,3278,9.99,9.99,0,TRUE,"Sports,Action,VR,3D Fighter,Boxing,Fighting,Singleplayer"
1198740,Colony Siege,2020-09-07,TRUE,FALSE,FALSE,Very Positive,90,155,6.99,6.99,0,TRUE,"Strategy,Simulation,Tower Defense,Sci-fi,Co-op,RTS,Online Co-Op,Co-op Campaign,Base Building,Multiplayer,Real-Time,Survival,Indie"
35000,Mini Ninjas,2009-09-08,TRUE,FALSE,FALSE,Very Positive,90,2895,9.99,9.99,0,TRUE,"Adventure,Action,Ninja,Stealth,Cute,Singleplayer,3D Platformer,Family Friendly,Third Person,Platformer,Open World,Controller,Funny,Great Soundtrack,Multiplayer,Hack and Slash,Anime,Casual,Beautiful,Souls-like"
37400,Time Gentlemen Please! and Ben There Dan That! Special Edition  Double Pack,2009-08-25,TRUE,FALSE,FALSE,Very Positive,86,445,4.99,4.99,0,TRUE,"Point & Click,Adventure,Indie,Comedy,2D,Singleplayer,Funny,Time Travel,Retro,1990's,Cult Classic,Classic,Puzzle,Hand-drawn"
39690,ArcaniA,2010-10-15,TRUE,FALSE,FALSE,Mixed,56,1720,19.99,19.99,0,TRUE,"RPG,Open World,Fantasy,Singleplayer,Third Person,Adventure,Action RPG,Action,Gothic,Medieval,Magic,Casual,Hack and Slash,Great Soundtrack"
55230,Saints Row: The Third,2011-11-14,TRUE,FALSE,TRUE,Overwhelmingly Positive,95,46240,9.99,9.99,0,TRUE,"Open World,Action,Comedy,Co-op,Third-Person Shooter,Funny,Sandbox,Character Customization,Third Person,Online Co-Op,Singleplayer,Great Soundtrack,Shooter,Multiplayer,Crime,Female Protagonist,Adventure,Satire,Zombies,RPG"
65400,Archon Classic,2010-11-02,TRUE,FALSE,FALSE,Very Positive,88,124,9.99,9.99,0,TRUE,"Strategy,Indie,Remake,Retro,4 Player Local,Classic,Board Game,Local Multiplayer,Chess"
222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,2014-12-16,TRUE,FALSE,FALSE,Very Positive,89,1901,14.99,14.99,0,TRUE,"Fighting,Arcade,2D Fighter,Action,Classic,Multiplayer,2D,Retro,Anime,Pixel Graphics,Local Multiplayer,Great Soundtrack,Competitive"
257850,Hyper Light Drifter,2016-03-31,TRUE,TRUE,TRUE,Very Positive,94,12776,19.99,19.99,0,TRUE,"Pixel Graphics,Great Soundtrack,Atmospheric,Adventure,Difficult,Indie,Action,Singleplayer,Hack and Slash,Exploration,RPG,2D,Colorful,Post-apocalyptic,Top-Down,Action RPG,Metroidvania,Souls-like,Fantasy,Sci-fi"
274480,Drox Operative,2014-02-18,TRUE,TRUE,TRUE,Very Positive,88,263,19.99,19.99,0,TRUE,"Space,Indie,Action,RPG,Action RPG,Sci-fi,Co-op,Procedural Generation,Singleplayer,Loot,Multiplayer,4X"
314000,Pool Nation FX Lite,2015-12-07,TRUE,FALSE,FALSE,Mostly Positive,70,1757,9.99,0,0,TRUE,"Free to Play,Sports,Pool,Multiplayer,Simulation,Casual,Strategy,Indie,Singleplayer,Local Multiplayer,Relaxing,Massively Multiplayer,Physics,Snooker,Addictive,Team-Based,Online Co-Op,VR"
326410,Windward,2015-05-12,TRUE,TRUE,TRUE,Very Positive,80,2534,9.99,9.99,0,TRUE,"Naval Combat,Pirates,Naval,Sandbox,Adventure,Indie,Multiplayer,RPG,Trading,Open World,Action,Singleplayer,Strategy,Co-op,Procedural Generation,Sailing,Exploration,Economy,Choose Your Own Adventure,MMORPG"
406600,METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA),2015-10-20,TRUE,FALSE,FALSE,Very Positive,86,123,0.99,0.99,0,TRUE,"Action,Adventure"
